draw_id,beta,gamma,rho,degree,degree_mean
1,0.170264212815955,0.117521913008181,0.3336530598302267,13,14.425
1,0.170264212815955,0.117521913008181,0.3336530598302267,14,9.925
1,0.170264212815955,0.117521913008181,0.3336530598302267,15,7.8
1,0.170264212815955,0.117521913008181,0.3336530598302267,16,4.925
1,0.170264212815955,0.117521913008181,0.3336530598302267,17,3.325
1,0.170264212815955,0.117521913008181,0.3336530598302267,18,1.9
1,0.170264212815955,0.117521913008181,0.3336530598302267,19,0.925
1,0.170264212815955,0.117521913008181,0.3336530598302267,20,0.375
1,0.170264212815955,0.117521913008181,0.3336530598302267,21,0.275
1,0.170264212815955,0.117521913008181,0.3336530598302267,22,0.125
1,0.170264212815955,0.117521913008181,0.3336530598302267,23,0.025
1,0.170264212815955,0.117521913008181,0.3336530598302267,24,0.025
1,0.170264212815955,0.117521913008181,0.3336530598302267,25,0.0
1,0.170264212815955,0.117521913008181,0.3336530598302267,26,0.025
1,0.170264212815955,0.117521913008181,0.3336530598302267,27,0.0
1,0.170264212815955,0.117521913008181,0.3336530598302267,28,0.0
1,0.170264212815955,0.117521913008181,0.3336530598302267,29,0.0
1,0.170264212815955,0.117521913008181,0.3336530598302267,30,0.025
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,0,0.0
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,1,0.0
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,2,0.35
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,3,1.675
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,4,5.0
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,5,8.125
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,6,13.525
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,7,18.425
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,8,21.85
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,9,25.925
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,10,23.55
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,11,21.475
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,12,17.625
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,13,13.525
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,14,9.75
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,15,7.5
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,16,5.05
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,17,2.95
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,18,1.8
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,19,1.05
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,20,0.325
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,21,0.25
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,22,0.15
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,23,0.05
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,24,0.075
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,25,0.0
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,26,0.0
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,27,0.0
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,28,0.0
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,29,0.0
2,0.1874507307304489,0.1116432925729578,0.3460527626595165,30,0.0
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,0,0.0
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,1,0.05
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,2,0.475
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,3,1.7
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,4,3.9
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,5,8.15
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,6,13.5
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,7,17.925
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,8,21.975
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,9,22.3
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,10,24.1
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,11,22.05
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,12,19.375
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,13,14.7
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,14,11.225
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,15,7.45
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,16,4.75
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,17,2.75
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,18,1.625
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,19,0.85
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,20,0.575
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,21,0.325
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,22,0.15
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,23,0.025
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,24,0.025
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,25,0.025
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,26,0.025
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,27,0.0
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,28,0.0
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,29,0.0
3,0.1959268201318824,0.0756233532873728,0.3557369634673774,30,0.0
4,0.1358146440718308,0.0960707157366793,0.2668810764261244,0,0.025
4,0.1358146440718308,0.0960707157366793,0.2668810764261244,1,0.025
4,0.1358146440718308,0.0960707157366793,0.2668810764261244,2,0.6
4,0.1358146440718308,0.0960707157366793,0.2668810764261244,3,1.675
4,0.1358146440718308,0.0960707157366793,0.2668810764261244,4,4.1
4,0.1358146440718308,0.0960707157366793,0.2668810764261244,5,8.0
4,0.1358146440718308,0.0960707157366793,0.2668810764261244,6,14.025
4,0.1358146440718308,0.0960707157366793,0.2668810764261244,7,18.825
4,0.1358146440718308,0.0960707157366793,0.2668810764261244,8,21.425
4,0.1358146440718308,0.0960707157366793,0.2668810764261244,9,24.4
