step,beta,gamma,rho,distance,accepted_move,chain_id,epsilon_quantile,proposal_factor
6330,0.2035224359905713,0.1106764718053768,0.3625181103477815,0.86068583116475,0,2,0.75,0.9
6375,0.2025632106773454,0.092992583180446,0.4133554344603722,0.7809601294817967,1,0,0.75,0.9
5165,0.2015086292235457,0.0716838549763023,0.3483870602099586,0.8774277710925728,0,3,0.75,0.9
2545,0.1535541324926266,0.0808072527932682,0.3140433062842667,0.2452874401274426,1,0,0.75,0.9
2240,0.2004616583502285,0.1090148081524491,0.3842485284106502,0.8587805071998256,1,2,0.75,0.9
6780,0.1619553432446774,0.0927131190247242,0.3571984076466727,0.6576559589787114,1,2,0.75,0.9
4825,0.1898614526648619,0.0972694973470049,0.3653283088520224,0.6373629606329593,1,2,0.75,0.9
4835,0.1545451852207493,0.1085910929682901,0.3150753663693003,0.8457439189685019,1,0,0.75,0.9
8160,0.1546606306991194,0.0649844217284398,0.3195561017812699,0.6776061165334033,0,0,0.75,0.9
5025,0.1797482671282898,0.0923456545429232,0.3575987807687592,0.5298078924810574,1,3,0.75,0.9
2415,0.1925348720023128,0.0978339330464783,0.3502264854108134,0.6740134773889794,0,0,0.75,0.9
6610,0.1984332064364103,0.098763427037947,0.3395662212323064,0.837186668286225,0,0,0.75,0.9
8230,0.1894929512781727,0.09667371834998,0.3913347852737714,0.6572176275094163,0,1,0.75,0.9
1580,0.1247065893556167,0.0676633020475456,0.2275856518905487,0.8814095713397727,0,0,0.75,0.9
5350,0.1717573539342147,0.1210968619603042,0.3276820868056256,0.8691097182722214,0,3,0.75,0.9
1455,0.1673027498092473,0.0773424488520951,0.3032550691474091,0.3013425583381235,0,2,0.75,0.9
3460,0.1480702119616357,0.0692938711359552,0.333397660947491,0.7152794776134103,0,0,0.75,0.9
8640,0.144437479933966,0.0782618242690574,0.2409292259926961,0.5539916355798681,0,3,0.75,0.9
8830,0.187260648372923,0.1016116878124317,0.3856660448970794,0.7896958393284514,0,2,0.75,0.9
6015,0.1835125391018162,0.0950569126423389,0.3420821381259494,0.5085287901091402,1,3,0.75,0.9
9150,0.164753124074606,0.0796175052513846,0.352988482399848,0.4140288962145921,1,3,0.75,0.9
9945,0.1472184268725749,0.0991251960991399,0.3216773031268478,0.7838070933770983,1,2,0.75,0.9
