beta,gamma,rho,source_distance,kernel_weight
0.15158007748376473,0.07920903833685869,0.30690917226170983,0.1642658857723619,0.7296376418896562
0.15258616541165124,0.08276397104389346,0.30264447847166687,0.1665245600133695,0.7290738226810567
0.15552165781252095,0.08213275376560487,0.3072825213214,0.1701452457764719,0.7281539487439842
0.15761398838686516,0.0816601123094045,0.309684535210115,0.1768164500324611,0.726407245684252
0.1552727078521801,0.0828717064133969,0.3075978073097844,0.1796772546326586,0.7256376309532792
0.15544446401124729,0.08078021294340036,0.3049876066326628,0.1808260949575142,0.7253250933432984
0.14916061540679498,0.08343693070464876,0.2990929133951566,0.1815576045854998,0.7251250509635981
0.15106179424807145,0.07906542754743884,0.3009396178764515,0.1833756641639512,0.724624377147473
0.153431374108335,0.08261722089759584,0.30360343074295787,0.183381592115945,0.7246227364945962
0.15682339120426553,0.08316768122429724,0.3054756693130071,0.1840286216861214,0.7244433421839529
0.15009118679517539,0.08323422469965155,0.29851134040787597,0.1840732665462778,0.7244309407237628
0.15537632884629998,0.08050276801008573,0.30825628306629393,0.1846154088514956,0.7242801042373225
0.15790506434587503,0.08096713381317214,0.31225287215866554,0.1851474672768535,0.7241316420200757
0.15483893091649192,0.08218027234517501,0.3016751930236847,0.1858658022873463,0.7239305245543555
0.15412372755016995,0.08100422237702472,0.3049622357842938,0.1860546072664536,0.7238775342070526
0.16057122835188223,0.08345213834262302,0.3106663032736443,0.1863314894984589,0.7237997266362598
0.1534773231154978,0.0828925035618397,0.30261834652514474,0.1871002100879271,0.7235830994264606
0.15639503661149282,0.08344120550018208,0.30704699525945145,0.1877982490061011,0.7233856178418057
0.1551923873587586,0.07991204196909632,0.3071973540547921,0.1910863811806059,0.72244548425987
0.15333444273319288,0.0835487812596887,0.30491416746924177,0.1914014699581837,0.7223545381992794
0.14978425639561782,0.08172066449820295,0.29805361203222375,0.1922968897370326,0.7220952695905769
0.14967948630597946,0.08139759671334615,0.30115563428453646,0.1924963328808528,0.7220373560873057
0.15431983960685594,0.08273802127665207,0.3114938881050087,0.1929018746081143,0.7219194113552063
0.15979081133032264,0.08082687844017793,0.31167501643909407,0.1933108399006591,0.7218002195682415
0.15881580454827104,0.08053256175579529,0.3107996150867514,0.1936543731094989,0.7216999027007489
0.1542328291141172,0.08126002309699347,0.301444096163947,0.1943028567541096,0.7215100502585141
0.15492786240158624,0.07764908600308916,0.30446483278860415,0.1965586709769634,0.7208446858483892
0.15278313972265017,0.08060631728288493,0.3018694575579157,0.1974338573314005,0.7205844771352335
0.159444964974411,0.07881406508746885,0.3093798167106583,0.1995203081008807,0.7199594745457137
0.15130141803350672,0.08255255424232234,0.30261452788731036,0.2021194517114282,0.719171703006892
0.15566042836534427,0.0823009027822894,0.3063753051200379,0.2033890005577028,0.7187832105083408
