beta,gamma,rho,distance,infected_peak,infected_time_of_peak,infected_auc,infected_extinction_time,rewiring_peak,rewiring_time_of_peak,rewiring_auc,rewiring_zero_fraction
0.1542722573929613,0.0877295331301939,0.3239913793188631,0.23940569433557,0.64125,8.95,10.544624999999998,71.125,100.95,5.775,576.175,0.935820895522388
0.1672644160995378,0.0830065066812572,0.3076741800500467,0.2432167286880902,0.6597500000000001,8.475,11.02425,71.15,102.525,5.25,518.275,0.941044776119403
0.1606463020608616,0.0849033807313663,0.3188509466388751,0.2449879486942976,0.663875,9.05,10.913625,69.425,102.475,5.825,564.775,0.9371890547263682
0.1607010711622908,0.0812641345190037,0.327044562258593,0.2452008478502317,0.656375,8.75,10.971875,73.375,107.7,5.6,583.825,0.9371890547263682
0.1592401483034444,0.083693613484086,0.3292541815302034,0.245419266564885,0.657375,8.7,11.061624999999998,72.475,106.475,5.675,585.55,0.9376865671641792
0.1432205266195493,0.0759194851221943,0.2759329437164158,0.2456847364255726,0.6557499999999999,8.975,12.028124999999998,78.45,92.4,5.675,520.225,0.932462686567164
0.1461993323617965,0.0731758386417142,0.2933283542147013,0.245953282547375,0.673875,8.75,12.590374999999998,81.35,99.4,5.55,543.75,0.9333333333333332
0.1506928495768763,0.0861730477957896,0.2918390044329689,0.2475291801938022,0.632125,8.875,10.506249999999998,70.6,93.375,5.6,521.625,0.933457711442786
0.1420385715091548,0.0750227027561875,0.270822198842124,0.2480992811611084,0.679625,8.975,12.467874999999998,78.6,93.375,5.425,513.15,0.9373134328358208
0.156467949197243,0.0768227501845369,0.2908083050864533,0.2481545026041183,0.684875,8.475,12.105124999999996,78.625,94.7,5.375,513.425,0.9389303482587064
0.1658130309690304,0.0853272331357549,0.3329835346692342,0.2501271040683706,0.6511250000000001,8.775,10.562375,70.225,106.775,5.5,576.25,0.9365671641791044
0.155632933157332,0.0757271704980182,0.304597022125709,0.2501678883152944,0.67775,8.8,12.197625,82.25,101.75,5.4,538.525,0.9396766169154228
0.1587164030688108,0.0754152519711744,0.3152245300216958,0.2506905246279307,0.6785,9.1,12.212125,78.45,102.275,5.75,561.9,0.9342039800995025
0.1633233676136036,0.0838960900327981,0.3367849914148888,0.251121760166912,0.6523749999999999,8.775,10.886124999999998,74.375,108.0,5.675,580.9,0.9363184079601988
0.16640772978646,0.0810436097054841,0.3276943029670076,0.2512077510351761,0.6772499999999999,8.4,11.537125,72.85,106.15,5.35,555.925,0.9411691542288558
0.1594422976261488,0.0822355711761826,0.3182793952612958,0.2521528914105083,0.662375,8.575,11.1095,71.575,104.2,5.125,550.325,0.9411691542288558
0.1646172841450925,0.0889546273094187,0.3088962712019976,0.2525103572547156,0.64925,8.6,10.29975,67.425,99.3,5.425,528.675,0.9400497512437812
0.1723410738866198,0.0870042344860759,0.3404506208448908,0.2529087994634158,0.646,8.75,10.429999999999998,71.775,107.75,5.6,570.95,0.9379353233830844
0.1521922383815193,0.0819657602549395,0.3181932300248401,0.2530032633865683,0.6537499999999999,8.95,11.12,69.75,102.3,5.7,581.925,0.933457711442786
0.1561505712437912,0.0780091556329438,0.2826645455555425,0.2532524428738922,0.6723750000000001,8.725,11.618624999999998,79.325,95.85,5.325,494.9,0.9373134328358208
0.1537209085277274,0.0805164712491603,0.3194030191156609,0.2539071215863075,0.653625,9.125,11.60475,79.8,100.525,5.725,580.7,0.9342039800995025
0.1485716918303174,0.0750071420276439,0.3026956614151515,0.2544134733918429,0.67125,9.225,12.258625,79.85,98.625,5.775,559.25,0.9359452736318408
0.1503873758162299,0.079187718026266,0.2762243378102793,0.254944400732868,0.66575,8.925,11.620124999999998,79.7,93.75,5.575,495.65,0.9374378109452736
0.1666808313784896,0.0851771472125597,0.3052054624455681,0.2551084066674112,0.658875,8.275,10.751874999999998,71.1,99.875,5.25,514.55,0.9396766169154228
0.1625063410887743,0.0767512003788578,0.3139784076335211,0.2551816195530093,0.681625,8.475,11.97,77.975,105.25,5.225,547.375,0.9396766169154228
0.1608903091971183,0.0794214189602389,0.2892038834408028,0.2559553981857562,0.66225,8.35,11.192999999999998,74.2,94.375,5.3,495.7,0.9379353233830844
0.1623080485788849,0.0794043876795256,0.2948271008327477,0.2565590970533633,0.6725,8.375,11.464249999999998,76.425,102.375,5.25,507.125,0.9400497512437812
0.1638614823973202,0.0772006687412675,0.3097677927589091,0.2568387346027767,0.6686249999999999,8.1,11.5475,79.025,100.125,5.35,527.85,0.9399253731343282
0.1628542752360438,0.076073425815189,0.3114220439960828,0.2570363842572993,0.6854999999999999,8.45,11.955874999999995,77.75,104.45,5.25,538.625,0.940174129353234
0.158681262592597,0.0867614046839259,0.2899102411310476,0.2580938120193748,0.6598750000000001,8.65,10.747999999999998,69.575,92.475,5.4,500.225,0.93681592039801
0.1563356705715738,0.0813009726818756,0.3304536634265267,0.2582720735025819,0.6651250000000001,8.975,11.30275,73.725,107.675,5.675,583.85,0.9374378109452736
0.1504454139493857,0.0841868291219287,0.2919643564657888,0.2599974673670801,0.642375,9.0,10.835874999999998,69.95,94.75,5.875,530.825,0.9338308457711442
0.1618623404756873,0.0900872825890595,0.3151728202639341,0.2601058183681561,0.6391249999999999,8.5,10.070875,67.275,99.625,5.475,540.05,0.9370646766169154
0.1475986769307172,0.0838349594310096,0.2934571919247148,0.2604816182811961,0.6465,9.15,10.780874999999998,71.975,95.45,5.85,542.85,0.9322139303482586
0.1480775185360326,0.0862390958821067,0.2924922518828896,0.2605176116432563,0.6335000000000001,8.925,10.560999999999998,72.65,94.35,5.8,545.725,0.9317164179104476
0.1523890027647644,0.0803160017532587,0.3223864289635605,0.2607023656082345,0.6609999999999999,9.0,11.452875,77.0,105.2,5.55,594.6,0.934825870646766
0.1570600762454584,0.0773123002949373,0.3123893293653591,0.2611131331125158,0.677875,8.85,11.993749999999997,80.975,103.675,5.825,557.25,0.9369402985074624
0.1547103663611518,0.0765454642544819,0.3167123296273277,0.2611271264048496,0.6753750000000001,8.875,12.139499999999998,79.6,106.575,5.3,564.675,0.9385572139303482
0.147606252041568,0.0860253750112099,0.2827692238434848,0.2612563669066745,0.632125,9.0,10.630375,74.35,92.875,5.65,510.1,0.9332089552238806
0.1677935721677481,0.0896928180713815,0.3177429175426027,0.2615434995489027,0.65425,8.375,10.215874999999995,68.325,100.65,5.325,529.825,0.9389303482587064
0.1527677450643954,0.0885164290778415,0.3086872993566329,0.2622832894314327,0.6252500000000001,9.05,10.214624999999998,72.225,96.325,5.475,555.925,0.9322139303482586
0.157259426134189,0.0750532154274438,0.3104275993742683,0.2625235590543572,0.686,8.95,12.323,81.225,103.125,5.475,557.0,0.9390547263681592
0.1564883000538536,0.0859778187011891,0.2922425907372541,0.2630177267618787,0.6471250000000001,8.3,10.524874999999998,72.975,97.1,5.2,509.85,0.9389303482587064
0.168315281644666,0.0768190923426736,0.3221775290836387,0.2630595570528706,0.67775,8.425,12.046249999999995,78.4,104.675,5.225,548.625,0.940547263681592
0.155689461646088,0.0812950619518971,0.32518769322888,0.2631579069322955,0.6643749999999999,8.8,11.21175,71.15,106.075,5.775,582.175,0.9350746268656718
0.1667945976935454,0.0817084791216712,0.3295354179920364,0.2632800055707103,0.6671250000000001,8.525,11.309875,74.9,109.775,5.375,565.15,0.9399253731343282
0.1641987638935772,0.0792597947904491,0.3392752319914982,0.263411266871845,0.666875,8.7,11.372999999999998,75.2,108.975,5.425,585.4,0.9376865671641792
0.1711012166966447,0.0856441704214792,0.3215896992461632,0.2635224165835196,0.6587500000000001,8.325,10.6065,70.925,105.775,5.375,541.625,0.9411691542288558
0.1479748910175657,0.0758064175149498,0.2962986251844341,0.2636797818797255,0.67475,9.225,12.213625,78.25,99.025,5.9,546.625,0.9374378109452736
0.1647325515951177,0.0877725700095266,0.3101741551869941,0.2637462435912769,0.65225,8.5,10.550375,67.95,98.825,5.4,519.15,0.9411691542288558
0.1458827768419615,0.0769104604990014,0.289447854534919,0.2641466322937943,0.671125,8.975,11.773999999999996,78.325,95.225,5.85,539.4,0.9312189054726367
0.154292677329831,0.0862795828579337,0.3008924163692383,0.2642143806435537,0.65025,8.9,10.631125,68.65,96.875,5.925,530.0,0.9378109452736318
0.1524692447267941,0.0748650970342084,0.30544146626814,0.2646279836223189,0.680625,8.7,12.5235,81.625,103.05,5.575,563.3,0.93818407960199
0.1641386705331915,0.0813889620976538,0.3261052613160207,0.2648036650932391,0.66825,8.475,11.198,72.125,105.725,5.175,554.075,0.9414179104477612
0.1582278459734029,0.0748857289248413,0.2792419807994746,0.2656889532597464,0.67825,8.725,12.105875,76.3,95.4,5.625,497.675,0.941044776119403
0.1540724881467881,0.0852526584522806,0.2885888400340689,0.266927429528411,0.652,8.725,10.779999999999998,67.975,95.6,5.3,505.3,0.939179104477612
0.1612133439647308,0.0851130416221387,0.2958618842774309,0.2679864363739658,0.6438750000000001,8.25,10.757,78.15,95.1,5.25,507.825,0.9370646766169154
0.1585324966501995,0.0749792374406586,0.3041319625696381,0.2687103636841094,0.6922499999999999,8.425,12.32075,75.65,103.925,5.25,532.1,0.9390547263681592
