beta,gamma,rho,distance,infected_peak,infected_time_of_peak,infected_auc,infected_extinction_time,rewiring_peak,rewiring_time_of_peak,rewiring_auc,rewiring_zero_fraction,weight,stage,epsilon
0.18776589962219148,0.0805730222041294,0.39071502146822484,0.6367736826646799,0.67725,8.275,11.602999999999998,72.15,122.325,5.425,628.75,0.9456467661691544,0.0010412292330970055,4,0.9028721458215555
0.1664191378882488,0.10575628328939597,0.3550151390763392,0.6905874688289463,0.58725,9.025,8.42775,58.125,105.875,5.775,607.85,0.9334577114427859,0.0009468264101259266,4,0.9028721458215555
0.19967030014029663,0.08090935984547856,0.3816666777845228,0.7803107394295559,0.695125,7.625,11.235124999999998,73.05,124.85,4.875,596.0,0.9488805970149254,0.0009870371442126226,4,0.9028721458215555
0.1792135206530548,0.09210647972317872,0.3782904785491636,0.5984229810444707,0.6225,8.325,9.550124999999998,64.025,115.725,5.325,621.95,0.9395522388059702,0.0009606856443413131,4,0.9028721458215555
0.17507121893458952,0.06988936232622334,0.2691610886927798,0.8383059877026512,0.733375,7.775,13.689999999999998,82.2,95.65,4.825,427.8,0.9488805970149254,0.0010596775696496334,4,0.9028721458215555
0.15696554252573147,0.09403424151086814,0.3304651627684765,0.5532458199736396,0.6063750000000001,9.075,9.461875,61.325,101.65,5.825,589.225,0.9298507462686567,0.0009820021149967,4,0.9028721458215555
0.16874653646978197,0.0805132153504433,0.29529954253799845,0.4282015033758842,0.673125,8.125,11.468499999999999,72.4,98.8,5.025,483.1,0.9440298507462688,0.0009476074981917032,4,0.9028721458215555
0.15743080987065627,0.06115344593624325,0.2953994423495543,0.7633767677321743,0.7245,8.725,15.067999999999998,97.275,101.925,5.4,528.525,0.9416666666666668,0.0011948020009004425,4,0.9028721458215555
0.15594285796017993,0.08377976201910012,0.36518866233682995,0.7990008541233196,0.638625,9.775,10.790875,66.825,112.775,6.25,681.65,0.9303482587064676,0.0011697611053705361,4,0.9028721458215555
0.14389184076737438,0.09338727373298852,0.2965616924130034,0.5490237665600421,0.599,9.6,9.736124999999998,68.4,93.7,6.05,555.225,0.9286069651741293,0.0010291176285990176,4,0.9028721458215555
0.1614515516315737,0.10054464259812143,0.3198823402836457,0.5116570556376352,0.590625,8.7,8.98575,61.525,98.425,5.5,556.075,0.935820895522388,0.0009161850811343132,4,0.9028721458215555
0.14705907348894048,0.0901448305047988,0.3147318820272513,0.4864881355841132,0.623375,9.35,10.238999999999999,65.55,98.8,6.025,585.325,0.9297263681592038,0.0010476937408477305,4,0.9028721458215555
0.16468424003317414,0.08663628255946731,0.34752333915841466,0.4103444301706953,0.63825,8.95,10.316124999999998,71.35,110.025,5.575,614.15,0.9329601990049751,0.000998204086496777,4,0.9028721458215555
0.17665445263320623,0.11605222422717666,0.34635990577925874,0.8249719839025113,0.5588749999999999,8.275,7.506625,53.65,101.45,5.225,563.3,0.9340796019900498,0.0008736856268190846,4,0.9028721458215555
0.1856992332686645,0.09746221020049031,0.3989013336992907,0.7755665044766002,0.630375,8.25,9.351874999999998,61.475,123.425,5.25,650.275,0.9396766169154229,0.0009625491448942069,4,0.9028721458215555
0.16109077523956108,0.1036209936189971,0.34525809554981146,0.6067449145831517,0.586875,8.975,8.686249999999998,60.275,100.55,5.425,596.775,0.9332089552238806,0.0009667146628226439,4,0.9028721458215555
0.18817793699826174,0.0841688978653665,0.322926124723041,0.6031547172119801,0.6705,7.7,10.926874999999999,72.925,104.225,4.625,497.75,0.9466417910447762,0.0009087466949280262,4,0.9028721458215555
0.17379576803081584,0.11706344260002366,0.30828090618235854,0.7960267484606076,0.568,8.3,7.674124999999999,55.575,91.425,5.2,490.55,0.9371890547263682,0.0008655151164742162,4,0.9028721458215555
0.1363117744026873,0.08694668295635909,0.29549917735484943,0.8533601004489189,0.61875,10.325,10.595749999999999,73.15,91.925,6.825,579.95,0.9241293532338307,0.0011316201462044353,4,0.9028721458215555
